2025-07-02 16:50:53,420 - INFO - CoVilla Notification Service started
2025-07-03 04:07:50,217 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:08:54,278 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:09:58,348 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:11:02,417 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:12:06,487 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:13:10,561 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:14:14,648 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:15:18,715 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:16:22,799 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 13:19:38,936 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 15:02:39,698 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:03:39,707 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:04:39,713 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:05:39,717 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:06:39,722 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:07:39,725 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:07:39,726 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:08:39,729 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:08:39,730 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:09:39,734 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:09:39,734 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:10:39,739 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:10:39,740 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:11:39,757 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:11:39,758 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:12:39,768 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:12:39,768 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
