2025-07-02 16:52:39,941 - INFO - CoVilla Notification Service started
2025-07-03 02:19:55,395 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:20:59,486 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:22:03,534 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:23:07,581 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:24:11,658 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:25:15,741 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:26:19,931 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:27:23,974 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:28:28,074 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:29:32,153 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:30:36,238 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:31:40,331 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:32:44,403 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:33:48,478 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:34:52,547 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:35:56,602 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:37:00,687 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:38:04,745 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:39:08,809 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:40:12,864 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:41:16,921 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:42:20,999 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:43:25,076 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:44:29,152 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:45:33,238 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:46:37,335 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:47:41,416 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:48:45,479 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:49:49,525 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:50:53,610 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:51:57,704 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:53:01,785 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 02:54:05,854 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:18:29,001 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:19:33,071 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:20:37,153 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:21:41,208 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:22:45,282 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:23:49,346 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:24:53,420 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:25:57,494 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:27:01,548 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 03:28:05,606 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
